"Date","Type","Category","Amount","Description","Source","Person_in_Charge","Voucher_Code"
"2026-01-09","income","Sales","1696.42","Daily card sales compiled for all outlets","POS-Card","Lim",""
"2026-01-09","income","Sales","2076.54","Daily QR / DuitNow sales compiled for all outlets","POS-QR","Ahmad",""
"2026-01-10","income","Sales","1193.85","Daily cash sales compiled for all outlets","POS-Cash","Lim",""
"2026-01-10","income","Sales","1539.74","Daily card sales compiled for all outlets","POS-Card","Ahmad",""
"2026-01-10","income","Sales","1528.71","Daily QR / DuitNow sales compiled for all outlets","POS-QR","Jack",""
"2026-01-11","income","Sales","1192.00","Daily cash sales compiled for all outlets","POS-Cash","Ahmad",""
"2026-01-11","income","Sales","1541.41","Daily card sales compiled for all outlets","POS-Card","Jack",""
"2026-01-11","income","Sales","2273.04","Daily QR / DuitNow sales compiled for all outlets","POS-QR","Sarah",""
"2026-01-12","income","Sales","991.40","Daily cash sales compiled for all outlets","POS-Cash","Jack",""
"2026-01-12","income","Sales","1756.05","Daily card sales compiled for all outlets","POS-Card","Sarah",""
"2026-01-12","income","Sales","1939.74","Daily QR / DuitNow sales compiled for all outlets","POS-QR","Ali",""
"2026-01-13","income","Sales","886.65","Daily cash sales compiled for all outlets","POS-Cash","Sarah",""
"2026-01-13","income","Sales","1631.48","Daily card sales compiled for all outlets","POS-Card","Ali",""
"2026-01-13","income","Sales","2033.22","Daily QR / DuitNow sales compiled for all outlets","POS-QR","Tan",""
"2026-01-14","income","Sales","997.91","Daily cash sales compiled for all outlets","POS-Cash","Ali",""
"2026-01-14","income","Sales","1313.72","Daily card sales compiled for all outlets","POS-Card","Tan",""
"2026-01-14","income","Sales","2143.42","Daily QR / DuitNow sales compiled for all outlets","POS-QR","Lim",""
"2026-01-15","income","Sales","966.40","Daily cash sales compiled for all outlets","POS-Cash","Tan",""
"2026-01-15","income","Sales","1717.64","Daily card sales compiled for all outlets","POS-Card","Lim",""
"2026-01-15","income","Sales","2042.73","Daily QR / DuitNow sales compiled for all outlets","POS-QR","Ahmad",""
"2026-01-16","income","Sales","1163.59","Daily cash sales compiled for all outlets","POS-Cash","Lim",""
"2026-01-16","income","Sales","1241.64","Daily card sales compiled for all outlets","POS-Card","Ahmad",""
"2026-01-16","income","Sales","1514.42","Daily QR / DuitNow sales compiled for all outlets","POS-QR","Jack",""
"2026-01-17","income","Sales","900.95","Daily cash sales compiled for all outlets","POS-Cash","Ahmad",""
"2026-01-17","income","Sales","1424.24","Daily card sales compiled for all outlets","POS-Card","Jack",""
"2026-01-17","income","Sales","2131.14","Daily QR / DuitNow sales compiled for all outlets","POS-QR","Sarah",""
"2026-01-18","income","Sales","1033.73","Daily cash sales compiled for all outlets","POS-Cash","Jack",""
"2026-01-18","income","Sales","1468.15","Daily card sales compiled for all outlets","POS-Card","Sarah",""
"2026-01-18","income","Sales","1703.95","Daily QR / DuitNow sales compiled for all outlets","POS-QR","Ali",""
"2026-01-19","income","Sales","1193.09","Daily cash sales compiled for all outlets","POS-Cash","Sarah",""
"2026-01-19","income","Sales","1607.38","Daily card sales compiled for all outlets","POS-Card","Ali",""
"2026-01-19","income","Sales","1740.89","Daily QR / DuitNow sales compiled for all outlets","POS-QR","Tan",""
"2026-01-20","income","Sales","919.22","Daily cash sales compiled for all outlets","POS-Cash","Ali",""
"2026-01-20","income","Sales","1769.88","Daily card sales compiled for all outlets","POS-Card","Tan",""
"2026-01-20","income","Sales","1683.73","Daily QR / DuitNow sales compiled for all outlets","POS-QR","Lim",""
"2026-01-21","income","Sales","1041.26","Daily cash sales compiled for all outlets","POS-Cash","Tan",""
"2026-01-21","income","Sales","1779.64","Daily card sales compiled for all outlets","POS-Card","Lim",""
"2026-01-21","income","Sales","1510.18","Daily QR / DuitNow sales compiled for all outlets","POS-QR","Ahmad",""
"2026-01-22","income","Sales","1069.49","Daily cash sales compiled for all outlets","POS-Cash","Lim",""
"2026-01-22","income","Sales","1464.58","Daily card sales compiled for all outlets","POS-Card","Ahmad",""
"2026-01-22","income","Sales","2299.93","Daily QR / DuitNow sales compiled for all outlets","POS-QR","Jack",""
"2026-01-23","income","Sales","1027.84","Daily cash sales compiled for all outlets","POS-Cash","Ahmad",""
"2026-01-23","income","Sales","1442.19","Daily card sales compiled for all outlets","POS-Card","Jack",""
"2026-01-23","income","Sales","2022.56","Daily QR / DuitNow sales compiled for all outlets","POS-QR","Sarah",""
"2026-01-24","income","Sales","1042.68","Daily cash sales compiled for all outlets","POS-Cash","Jack",""
"2026-01-24","income","Sales","1241.83","Daily card sales compiled for all outlets","POS-Card","Sarah",""
"2026-01-24","income","Sales","1500.84","Daily QR / DuitNow sales compiled for all outlets","POS-QR","Ali",""
"2026-01-25","income","Sales","962.72","Daily cash sales compiled for all outlets","POS-Cash","Sarah",""
"2026-01-25","income","Sales","1241.20","Daily card sales compiled for all outlets","POS-Card","Ali",""
"2026-01-25","income","Sales","1658.42","Daily QR / DuitNow sales compiled for all outlets","POS-QR","Tan",""
"2026-01-26","income","Sales","982.89","Daily cash sales compiled for all outlets","POS-Cash","Ali",""
"2026-01-26","income","Sales","1329.15","Daily card sales compiled for all outlets","POS-Card","Tan",""
"2026-01-26","income","Sales","1664.56","Daily QR / DuitNow sales compiled for all outlets","POS-QR","Lim",""
"2026-01-27","income","Sales","959.44","Daily cash sales compiled for all outlets","POS-Cash","Tan",""
"2026-01-27","income","Sales","1582.00","Daily card sales compiled for all outlets","POS-Card","Lim",""
"2026-01-27","income","Sales","1715.65","Daily QR / DuitNow sales compiled for all outlets","POS-QR","Ahmad",""
"2026-01-28","income","Sales","849.02","Daily cash sales compiled for all outlets","POS-Cash","Lim",""
"2026-01-28","income","Sales","1510.78","Daily card sales compiled for all outlets","POS-Card","Ahmad",""
"2026-01-28","income","Sales","2172.22","Daily QR / DuitNow sales compiled for all outlets","POS-QR","Jack",""
"2026-01-29","income","Sales","916.32","Daily cash sales compiled for all outlets","POS-Cash","Ahmad",""
"2026-01-29","income","Sales","1219.76","Daily card sales compiled for all outlets","POS-Card","Jack",""
"2026-01-29","income","Sales","1555.75","Daily QR / DuitNow sales compiled for all outlets","POS-QR","Sarah",""
"2026-01-30","income","Sales","1137.79","Daily cash sales compiled for all outlets","POS-Cash","Jack",""
"2026-01-30","income","Sales","1435.20","Daily card sales compiled for all outlets","POS-Card","Sarah",""
"2026-01-30","income","Sales","1786.47","Daily QR / DuitNow sales compiled for all outlets","POS-QR","Ali",""
"2026-01-31","income","Sales","1120.61","Daily cash sales compiled for all outlets","POS-Cash","Sarah",""
"2026-01-31","income","Sales","1684.19","Daily card sales compiled for all outlets","POS-Card","Ali",""
"2026-01-31","income","Sales","1840.61","Daily QR / DuitNow sales compiled for all outlets","POS-QR","Tan",""
"2026-02-01","expense","Rent","4500.00","Monthly rental for outlet Taman A","Manual","Jack",""
"2026-02-01","expense","Rent","4500.00","Monthly rental for outlet Taman B","Manual","Sarah",""
"2026-02-01","expense","Rent","4500.00","Monthly rental for outlet Taman C","Manual","Ali",""
"2026-02-01","expense","Rent","4500.00","Monthly rental for outlet Taman D","Manual","Tan",""
"2026-02-01","expense","Rent","4500.00","Monthly rental for outlet Taman E","Manual","Lim",""
"2026-02-10","expense","Utilities","342.72","Electricity bill for Taman A","Manual","Sarah",""
"2026-02-10","expense","Utilities","57.61","Water bill for Taman A","Manual","Sarah",""
"2026-02-12","expense","Utilities","337.42","Electricity bill for Taman B","Manual","Ali",""
"2026-02-12","expense","Utilities","80.28","Water bill for Taman B","Manual","Ali",""
"2026-02-15","expense","Utilities","308.23","Electricity bill for Taman C","Manual","Tan",""
"2026-02-15","expense","Utilities","80.83","Water bill for Taman C","Manual","Tan",""
"2026-02-18","expense","Utilities","378.25","Electricity bill for Taman D","Manual","Lim",""
"2026-02-18","expense","Utilities","92.94","Water bill for Taman D","Manual","Lim",""
"2026-02-21","expense","Utilities","477.58","Electricity bill for Taman E","Manual","Ahmad",""
"2026-02-21","expense","Utilities","87.51","Water bill for Taman E","Manual","Ahmad",""
"2026-02-05","expense","Inventory","23509.23","Bulk tea leaves, cups and packaging materials from supplier","Manual","Sarah",""
"2026-02-20","expense","Inventory","20227.78","Milk, syrup and fresh pastry supplies from vendor","Manual","Ahmad",""
"2026-02-10","expense","Marketing","6403.78","Social media ads and local influencer campaigns payout","Manual","Tan",""
"2026-02-28","expense","Salaries","70040.38","Monthly staff salaries and EPF contributions compiled","Manual","Lim",""
"2026-02-28","expense","Claims","221.13","Petrol and travel claim [PIC: Ali]","Manual","Ali",""
"2026-02-01","income","Sales","1056.92","Daily cash sales compiled for all outlets","POS-Cash","Sarah",""
"2026-02-01","income","Sales","1723.57","Daily card sales compiled for all outlets","POS-Card","Ali",""
"2026-02-01","income","Sales","2169.88","Daily QR / DuitNow sales compiled for all outlets","POS-QR","Tan",""
"2026-02-02","income","Sales","1017.51","Daily cash sales compiled for all outlets","POS-Cash","Ali",""
"2026-02-02","income","Sales","1784.71","Daily card sales compiled for all outlets","POS-Card","Tan",""
"2026-02-02","income","Sales","1575.32","Daily QR / DuitNow sales compiled for all outlets","POS-QR","Lim",""
"2026-02-03","income","Sales","1034.82","Daily cash sales compiled for all outlets","POS-Cash","Tan",""
"2026-02-03","income","Sales","1388.26","Daily card sales compiled for all outlets","POS-Card","Lim",""
"2026-02-03","income","Sales","1955.74","Daily QR / DuitNow sales compiled for all outlets","POS-QR","Ahmad",""
"2026-02-04","income","Sales","852.79","Daily cash sales compiled for all outlets","POS-Cash","Lim",""
"2026-02-04","income","Sales","1450.56","Daily card sales compiled for all outlets","POS-Card","Ahmad",""
"2026-02-04","income","Sales","2078.45","Daily QR / DuitNow sales compiled for all outlets","POS-QR","Jack",""
"2026-02-05","income","Sales","1199.01","Daily cash sales compiled for all outlets","POS-Cash","Ahmad",""
"2026-02-05","income","Sales","1257.42","Daily card sales compiled for all outlets","POS-Card","Jack",""
"2026-02-05","income","Sales","1761.91","Daily QR / DuitNow sales compiled for all outlets","POS-QR","Sarah",""
"2026-02-06","income","Sales","1144.57","Daily cash sales compiled for all outlets","POS-Cash","Jack",""
"2026-02-06","income","Sales","1761.24","Daily card sales compiled for all outlets","POS-Card","Sarah",""
"2026-02-06","income","Sales","2228.70","Daily QR / DuitNow sales compiled for all outlets","POS-QR","Ali",""
"2026-02-07","income","Sales","909.32","Daily cash sales compiled for all outlets","POS-Cash","Sarah",""
"2026-02-07","income","Sales","1447.37","Daily card sales compiled for all outlets","POS-Card","Ali",""
"2026-02-07","income","Sales","1716.05","Daily QR / DuitNow sales compiled for all outlets","POS-QR","Tan",""
"2026-02-08","income","Sales","908.24","Daily cash sales compiled for all outlets","POS-Cash","Ali",""
"2026-02-08","income","Sales","1226.11","Daily card sales compiled for all outlets","POS-Card","Tan",""
"2026-02-08","income","Sales","1790.73","Daily QR / DuitNow sales compiled for all outlets","POS-QR","Lim",""
"2026-02-09","income","Sales","978.79","Daily cash sales compiled for all outlets","POS-Cash","Tan",""
"2026-02-09","income","Sales","1312.98","Daily card sales compiled for all outlets","POS-Card","Lim",""
"2026-02-09","income","Sales","2079.73","Daily QR / DuitNow sales compiled for all outlets","POS-QR","Ahmad",""
"2026-02-10","income","Sales","984.89","Daily cash sales compiled for all outlets","POS-Cash","Lim",""
"2026-02-10","income","Sales","1432.94","Daily card sales compiled for all outlets","POS-Card","Ahmad",""
"2026-02-10","income","Sales","1920.62","Daily QR / DuitNow sales compiled for all outlets","POS-QR","Jack",""
"2026-02-11","income","Sales","951.86","Daily cash sales compiled for all outlets","POS-Cash","Ahmad",""
"2026-02-11","income","Sales","1734.14","Daily card sales compiled for all outlets","POS-Card","Jack",""
"2026-02-11","income","Sales","1632.99","Daily QR / DuitNow sales compiled for all outlets","POS-QR","Sarah",""
"2026-02-12","income","Sales","973.85","Daily cash sales compiled for all outlets","POS-Cash","Jack",""
"2026-02-12","income","Sales","1532.27","Daily card sales compiled for all outlets","POS-Card","Sarah",""
"2026-02-12","income","Sales","1696.84","Daily QR / DuitNow sales compiled for all outlets","POS-QR","Ali",""
"2026-02-13","income","Sales","1197.19","Daily cash sales compiled for all outlets","POS-Cash","Sarah",""
"2026-02-13","income","Sales","1223.25","Daily card sales compiled for all outlets","POS-Card","Ali",""
"2026-02-13","income","Sales","1669.02","Daily QR / DuitNow sales compiled for all outlets","POS-QR","Tan",""
"2026-02-14","income","Sales","905.34","Daily cash sales compiled for all outlets","POS-Cash","Ali",""
"2026-02-14","income","Sales","1362.24","Daily card sales compiled for all outlets","POS-Card","Tan",""
"2026-02-14","income","Sales","1786.25","Daily QR / DuitNow sales compiled for all outlets","POS-QR","Lim",""
"2026-02-15","income","Sales","1164.45","Daily cash sales compiled for all outlets","POS-Cash","Tan",""
"2026-02-15","income","Sales","1697.36","Daily card sales compiled for all outlets","POS-Card","Lim",""
"2026-02-15","income","Sales","1503.24","Daily QR / DuitNow sales compiled for all outlets","POS-QR","Ahmad",""
"2026-02-16","income","Sales","1185.46","Daily cash sales compiled for all outlets","POS-Cash","Lim",""
"2026-02-16","income","Sales","1232.33","Daily card sales compiled for all outlets","POS-Card","Ahmad",""
"2026-02-16","income","Sales","1899.65","Daily QR / DuitNow sales compiled for all outlets","POS-QR","Jack",""
"2026-02-17","income","Sales","1170.23","Daily cash sales compiled for all outlets","POS-Cash","Ahmad",""
"2026-02-17","income","Sales","1226.90","Daily card sales compiled for all outlets","POS-Card","Jack",""
"2026-02-17","income","Sales","1966.61","Daily QR / DuitNow sales compiled for all outlets","POS-QR","Sarah",""
"2026-02-18","income","Sales","1050.41","Daily cash sales compiled for all outlets","POS-Cash","Jack",""
"2026-02-18","income","Sales","1345.90","Daily card sales compiled for all outlets","POS-Card","Sarah",""
"2026-02-18","income","Sales","1802.03","Daily QR / DuitNow sales compiled for all outlets","POS-QR","Ali",""
"2026-02-19","income","Sales","1102.72","Daily cash sales compiled for all outlets","POS-Cash","Sarah",""
"2026-02-19","income","Sales","1401.94","Daily card sales compiled for all outlets","POS-Card","Ali",""
"2026-02-19","income","Sales","1685.02","Daily QR / DuitNow sales compiled for all outlets","POS-QR","Tan",""
"2026-02-20","income","Sales","1123.67","Daily cash sales compiled for all outlets","POS-Cash","Ali",""
"2026-02-20","income","Sales","1346.24","Daily card sales compiled for all outlets","POS-Card","Tan",""
"2026-02-20","income","Sales","2039.43","Daily QR / DuitNow sales compiled for all outlets","POS-QR","Lim",""
"2026-02-21","income","Sales","937.24","Daily cash sales compiled for all outlets","POS-Cash","Tan",""
"2026-02-21","income","Sales","1770.29","Daily card sales compiled for all outlets","POS-Card","Lim",""
"2026-02-21","income","Sales","1708.26","Daily QR / DuitNow sales compiled for all outlets","POS-QR","Ahmad",""
"2026-02-22","income","Sales","1049.32","Daily cash sales compiled for all outlets","POS-Cash","Lim",""
"2026-02-22","income","Sales","1336.48","Daily card sales compiled for all outlets","POS-Card","Ahmad",""
"2026-02-22","income","Sales","1950.56","Daily QR / DuitNow sales compiled for all outlets","POS-QR","Jack",""
"2026-02-23","income","Sales","1154.36","Daily cash sales compiled for all outlets","POS-Cash","Ahmad",""
"2026-02-23","income","Sales","1665.56","Daily card sales compiled for all outlets","POS-Card","Jack",""
"2026-02-23","income","Sales","1909.36","Daily QR / DuitNow sales compiled for all outlets","POS-QR","Sarah",""
"2026-02-24","income","Sales","1025.25","Daily cash sales compiled for all outlets","POS-Cash","Jack",""
"2026-02-24","income","Sales","1250.10","Daily card sales compiled for all outlets","POS-Card","Sarah",""
"2026-02-24","income","Sales","1799.56","Daily QR / DuitNow sales compiled for all outlets","POS-QR","Ali",""
"2026-02-25","income","Sales","1108.10","Daily cash sales compiled for all outlets","POS-Cash","Sarah",""
"2026-02-25","income","Sales","1263.54","Daily card sales compiled for all outlets","POS-Card","Ali",""
"2026-02-25","income","Sales","2091.86","Daily QR / DuitNow sales compiled for all outlets","POS-QR","Tan",""
"2026-02-26","income","Sales","955.96","Daily cash sales compiled for all outlets","POS-Cash","Ali",""
"2026-02-26","income","Sales","1608.15","Daily card sales compiled for all outlets","POS-Card","Tan",""
"2026-02-26","income","Sales","2075.75","Daily QR / DuitNow sales compiled for all outlets","POS-QR","Lim",""
"2026-02-27","income","Sales","856.10","Daily cash sales compiled for all outlets","POS-Cash","Tan",""
"2026-02-27","income","Sales","1690.78","Daily card sales compiled for all outlets","POS-Card","Lim",""
"2026-02-27","income","Sales","1535.08","Daily QR / DuitNow sales compiled for all outlets","POS-QR","Ahmad",""
"2026-02-28","income","Sales","1102.49","Daily cash sales compiled for all outlets","POS-Cash","Lim",""
"2026-02-28","income","Sales","1569.00","Daily card sales compiled for all outlets","POS-Card","Ahmad",""
"2026-02-28","income","Sales","1817.01","Daily QR / DuitNow sales compiled for all outlets","POS-QR","Jack",""
"2026-03-01","expense","Rent","4500.00","Monthly rental for outlet Taman A","Manual","Jack",""
"2026-03-01","expense","Rent","4500.00","Monthly rental for outlet Taman B","Manual","Sarah",""
"2026-03-01","expense","Rent","4500.00","Monthly rental for outlet Taman C","Manual","Ali",""
"2026-03-01","expense","Rent","4500.00","Monthly rental for outlet Taman D","Manual","Tan",""
"2026-03-01","expense","Rent","4500.00","Monthly rental for outlet Taman E","Manual","Lim",""
"2026-03-10","expense","Utilities","484.15","Electricity bill for Taman A","Manual","Sarah",""
"2026-03-10","expense","Utilities","57.89","Water bill for Taman A","Manual","Sarah",""
"2026-03-12","expense","Utilities","422.53","Electricity bill for Taman B","Manual","Ali",""
"2026-03-12","expense","Utilities","50.22","Water bill for Taman B","Manual","Ali",""
"2026-03-15","expense","Utilities","444.97","Electricity bill for Taman C","Manual","Tan",""
"2026-03-15","expense","Utilities","87.58","Water bill for Taman C","Manual","Tan",""
"2026-03-18","expense","Utilities","433.46","Electricity bill for Taman D","Manual","Lim",""
"2026-03-18","expense","Utilities","88.77","Water bill for Taman D","Manual","Lim",""
"2026-03-21","expense","Utilities","393.20","Electricity bill for Taman E","Manual","Ahmad",""
"2026-03-21","expense","Utilities","67.01","Water bill for Taman E","Manual","Ahmad",""
"2026-03-10","expense","Utilities","350.00","Duplicate Electricity bill for Taman A","Manual","Sarah",""
"2026-03-11","expense","Utilities","350.00","Duplicate Electricity bill for Taman A","Manual","Sarah",""
"2026-03-05","expense","Inventory","22749.35","Bulk tea leaves, cups and packaging materials from supplier","Manual","Sarah",""
"2026-03-20","expense","Inventory","19486.30","Milk, syrup and fresh pastry supplies from vendor","Manual","Ahmad",""
"2026-03-10","expense","Marketing","5989.61","Social media ads and local influencer campaigns payout","Manual","Tan",""
"2026-03-28","expense","Salaries","73784.41","Monthly staff salaries and EPF contributions compiled","Manual","Lim",""
"2026-03-28","expense","Claims","216.62","Petrol and travel claim [PIC: Ali]","Manual","Ali",""
"2026-03-01","income","Sales","903.18","Daily cash sales compiled for all outlets","POS-Cash","Sarah",""
"2026-03-01","income","Sales","1620.90","Daily card sales compiled for all outlets","POS-Card","Ali",""
"2026-03-01","income","Sales","1786.65","Daily QR / DuitNow sales compiled for all outlets","POS-QR","Tan",""
"2026-03-02","income","Sales","965.93","Daily cash sales compiled for all outlets","POS-Cash","Ali",""
"2026-03-02","income","Sales","1259.18","Daily card sales compiled for all outlets","POS-Card","Tan",""
"2026-03-02","income","Sales","1624.56","Daily QR / DuitNow sales compiled for all outlets","POS-QR","Lim",""
"2026-03-03","income","Sales","1090.18","Daily cash sales compiled for all outlets","POS-Cash","Tan",""
"2026-03-03","income","Sales","1516.09","Daily card sales compiled for all outlets","POS-Card","Lim",""
"2026-03-03","income","Sales","2214.64","Daily QR / DuitNow sales compiled for all outlets","POS-QR","Ahmad",""
"2026-03-04","income","Sales","1158.13","Daily cash sales compiled for all outlets","POS-Cash","Lim",""
"2026-03-04","income","Sales","1300.66","Daily card sales compiled for all outlets","POS-Card","Ahmad",""
"2026-03-04","income","Sales","2286.65","Daily QR / DuitNow sales compiled for all outlets","POS-QR","Jack",""
"2026-03-05","income","Sales","1100.79","Daily cash sales compiled for all outlets","POS-Cash","Ahmad",""
"2026-03-05","income","Sales","1387.67","Daily card sales compiled for all outlets","POS-Card","Jack",""
"2026-03-05","income","Sales","1591.72","Daily QR / DuitNow sales compiled for all outlets","POS-QR","Sarah",""
"2026-03-06","income","Sales","907.31","Daily cash sales compiled for all outlets","POS-Cash","Jack",""
"2026-03-06","income","Sales","1685.52","Daily card sales compiled for all outlets","POS-Card","Sarah",""
"2026-03-06","income","Sales","2209.66","Daily QR / DuitNow sales compiled for all outlets","POS-QR","Ali",""
"2026-03-07","income","Sales","985.05","Daily cash sales compiled for all outlets","POS-Cash","Sarah",""
"2026-03-07","income","Sales","1366.10","Daily card sales compiled for all outlets","POS-Card","Ali",""
"2026-03-07","income","Sales","1562.89","Daily QR / DuitNow sales compiled for all outlets","POS-QR","Tan",""
"2026-03-08","income","Sales","1077.40","Daily cash sales compiled for all outlets","POS-Cash","Ali",""
"2026-03-08","income","Sales","1767.54","Daily card sales compiled for all outlets","POS-Card","Tan",""
"2026-03-08","income","Sales","2179.53","Daily QR / DuitNow sales compiled for all outlets","POS-QR","Lim",""
"2026-03-09","income","Sales","954.62","Daily cash sales compiled for all outlets","POS-Cash","Tan",""
"2026-03-09","income","Sales","1679.64","Daily card sales compiled for all outlets","POS-Card","Lim",""
"2026-03-09","income","Sales","1846.22","Daily QR / DuitNow sales compiled for all outlets","POS-QR","Ahmad",""
"2026-03-10","income","Sales","965.35","Daily cash sales compiled for all outlets","POS-Cash","Lim",""
"2026-03-10","income","Sales","1285.07","Daily card sales compiled for all outlets","POS-Card","Ahmad",""
"2026-03-10","income","Sales","1932.84","Daily QR / DuitNow sales compiled for all outlets","POS-QR","Jack",""
"2026-03-11","income","Sales","956.71","Daily cash sales compiled for all outlets","POS-Cash","Ahmad",""
"2026-03-11","income","Sales","1436.15","Daily card sales compiled for all outlets","POS-Card","Jack",""
"2026-03-11","income","Sales","1534.85","Daily QR / DuitNow sales compiled for all outlets","POS-QR","Sarah",""
"2026-03-12","income","Sales","832.25","Daily cash sales compiled for all outlets","POS-Cash","Jack",""
"2026-03-12","income","Sales","1346.53","Daily card sales compiled for all outlets","POS-Card","Sarah",""
"2026-03-12","income","Sales","2273.73","Daily QR / DuitNow sales compiled for all outlets","POS-QR","Ali",""
"2026-03-13","income","Sales","1004.91","Daily cash sales compiled for all outlets","POS-Cash","Sarah",""
"2026-03-13","income","Sales","1747.17","Daily card sales compiled for all outlets","POS-Card","Ali",""
"2026-03-13","income","Sales","1829.31","Daily QR / DuitNow sales compiled for all outlets","POS-QR","Tan",""
"2026-03-14","income","Sales","1025.56","Daily cash sales compiled for all outlets","POS-Cash","Ali",""
"2026-03-14","income","Sales","1504.14","Daily card sales compiled for all outlets","POS-Card","Tan",""
"2026-03-14","income","Sales","1928.17","Daily QR / DuitNow sales compiled for all outlets","POS-QR","Lim",""
"2026-03-15","income","Sales","1136.41","Daily cash sales compiled for all outlets","POS-Cash","Tan",""
"2026-03-15","income","Sales","1229.03","Daily card sales compiled for all outlets","POS-Card","Lim",""
"2026-03-15","income","Sales","2013.62","Daily QR / DuitNow sales compiled for all outlets","POS-QR","Ahmad",""
"2026-03-16","income","Sales","1133.24","Daily cash sales compiled for all outlets","POS-Cash","Lim",""
"2026-03-16","income","Sales","1736.90","Daily card sales compiled for all outlets","POS-Card","Ahmad",""
"2026-03-16","income","Sales","1930.10","Daily QR / DuitNow sales compiled for all outlets","POS-QR","Jack",""
