"Date","Type","Category","Amount","Description","Source","Person_in_Charge","Voucher_Code"
"2026-02-18","income","Sales","648.76","Shopee Food daily settlement payout","Shopee Food platform","Jack",""
"2026-02-19","income","Sales","629.28","Shopee Food daily settlement payout","Shopee Food platform","Sarah",""
"2026-02-20","income","Sales","462.80","Shopee Food daily settlement payout","Shopee Food platform","Ali",""
"2026-02-21","income","Sales","558.21","Shopee Food daily settlement payout","Shopee Food platform","Tan",""
"2026-02-22","income","Sales","528.79","Shopee Food daily settlement payout","Shopee Food platform","Lim",""
"2026-02-23","income","Sales","478.00","Shopee Food daily settlement payout","Shopee Food platform","Ahmad",""
"2026-02-24","income","Sales","558.98","Shopee Food daily settlement payout","Shopee Food platform","Jack",""
"2026-02-25","income","Sales","539.31","Shopee Food daily settlement payout","Shopee Food platform","Sarah",""
"2026-02-26","income","Sales","583.27","Shopee Food daily settlement payout","Shopee Food platform","Ali",""
"2026-02-27","income","Sales","633.17","Shopee Food daily settlement payout","Shopee Food platform","Tan",""
"2026-02-28","income","Sales","472.29","Shopee Food daily settlement payout","Shopee Food platform","Lim",""
"2026-03-01","income","Sales","515.57","Shopee Food daily settlement payout","Shopee Food platform","Sarah",""
"2026-03-02","income","Sales","629.75","Shopee Food daily settlement payout","Shopee Food platform","Ali",""
"2026-03-03","income","Sales","589.19","Shopee Food daily settlement payout","Shopee Food platform","Tan",""
"2026-03-04","income","Sales","428.37","Shopee Food daily settlement payout","Shopee Food platform","Lim",""
"2026-03-05","income","Sales","576.17","Shopee Food daily settlement payout","Shopee Food platform","Ahmad",""
"2026-03-06","income","Sales","529.48","Shopee Food daily settlement payout","Shopee Food platform","Jack",""
"2026-03-07","income","Sales","435.69","Shopee Food daily settlement payout","Shopee Food platform","Sarah",""
"2026-03-08","income","Sales","619.33","Shopee Food daily settlement payout","Shopee Food platform","Ali",""
"2026-03-09","income","Sales","521.06","Shopee Food daily settlement payout","Shopee Food platform","Tan",""
"2026-03-10","income","Sales","660.06","Shopee Food daily settlement payout","Shopee Food platform","Lim",""
"2026-03-11","income","Sales","655.94","Shopee Food daily settlement payout","Shopee Food platform","Ahmad",""
"2026-03-12","income","Sales","516.77","Shopee Food daily settlement payout","Shopee Food platform","Jack",""
"2026-03-13","income","Sales","449.68","Shopee Food daily settlement payout","Shopee Food platform","Sarah",""
"2026-03-14","income","Sales","576.81","Shopee Food daily settlement payout","Shopee Food platform","Ali",""
"2026-03-15","income","Sales","496.37","Shopee Food daily settlement payout","Shopee Food platform","Tan",""
"2026-03-16","income","Sales","509.92","Shopee Food daily settlement payout","Shopee Food platform","Lim",""
"2026-03-17","income","Sales","560.08","Shopee Food daily settlement payout","Shopee Food platform","Ahmad",""
"2026-03-18","income","Sales","620.34","Shopee Food daily settlement payout","Shopee Food platform","Jack",""
"2026-03-19","income","Sales","414.79","Shopee Food daily settlement payout","Shopee Food platform","Sarah",""
"2026-03-20","income","Sales","405.04","Shopee Food daily settlement payout","Shopee Food platform","Ali",""
"2026-03-21","income","Sales","411.35","Shopee Food daily settlement payout","Shopee Food platform","Tan",""
"2026-03-22","income","Sales","642.01","Shopee Food daily settlement payout","Shopee Food platform","Lim",""
"2026-03-23","income","Sales","470.52","Shopee Food daily settlement payout","Shopee Food platform","Ahmad",""
"2026-03-24","income","Sales","618.82","Shopee Food daily settlement payout","Shopee Food platform","Jack",""
"2026-03-25","income","Sales","434.62","Shopee Food daily settlement payout","Shopee Food platform","Sarah",""
"2026-03-26","income","Sales","504.77","Shopee Food daily settlement payout","Shopee Food platform","Ali",""
"2026-03-27","income","Sales","659.10","Shopee Food daily settlement payout","Shopee Food platform","Tan",""
"2026-03-28","income","Sales","449.44","Shopee Food daily settlement payout","Shopee Food platform","Lim",""
"2026-03-29","income","Sales","414.28","Shopee Food daily settlement payout","Shopee Food platform","Ahmad",""
"2026-03-30","income","Sales","668.87","Shopee Food daily settlement payout","Shopee Food platform","Jack",""
"2026-03-31","income","Sales","625.02","Shopee Food daily settlement payout","Shopee Food platform","Sarah",""
"2026-04-01","income","Sales","639.12","Shopee Food daily settlement payout","Shopee Food platform","Sarah",""
"2026-04-02","income","Sales","515.02","Shopee Food daily settlement payout","Shopee Food platform","Ali",""
"2026-04-03","income","Sales","478.84","Shopee Food daily settlement payout","Shopee Food platform","Tan",""
"2026-04-04","income","Sales","540.95","Shopee Food daily settlement payout","Shopee Food platform","Lim",""
"2026-04-05","income","Sales","550.73","Shopee Food daily settlement payout","Shopee Food platform","Ahmad",""
"2026-04-06","income","Sales","482.69","Shopee Food daily settlement payout","Shopee Food platform","Jack",""
"2026-04-07","income","Sales","699.99","Shopee Food daily settlement payout","Shopee Food platform","Sarah",""
"2026-04-08","income","Sales","439.59","Shopee Food daily settlement payout","Shopee Food platform","Ali",""
"2026-04-09","income","Sales","483.30","Shopee Food daily settlement payout","Shopee Food platform","Tan",""
"2026-04-10","income","Sales","479.73","Shopee Food daily settlement payout","Shopee Food platform","Lim",""
"2026-04-11","income","Sales","493.14","Shopee Food daily settlement payout","Shopee Food platform","Ahmad",""
"2026-04-12","income","Sales","618.95","Shopee Food daily settlement payout","Shopee Food platform","Jack",""
"2026-04-13","income","Sales","601.81","Shopee Food daily settlement payout","Shopee Food platform","Sarah",""
"2026-04-14","income","Sales","514.31","Shopee Food daily settlement payout","Shopee Food platform","Ali",""
"2026-04-15","income","Sales","565.74","Shopee Food daily settlement payout","Shopee Food platform","Tan",""
"2026-04-16","income","Sales","487.80","Shopee Food daily settlement payout","Shopee Food platform","Lim",""
"2026-04-17","income","Sales","698.33","Shopee Food daily settlement payout","Shopee Food platform","Ahmad",""
"2026-04-18","income","Sales","636.46","Shopee Food daily settlement payout","Shopee Food platform","Jack",""
"2026-04-19","income","Sales","409.36","Shopee Food daily settlement payout","Shopee Food platform","Sarah",""
"2026-04-20","income","Sales","511.98","Shopee Food daily settlement payout","Shopee Food platform","Ali",""
"2026-04-21","income","Sales","640.10","Shopee Food daily settlement payout","Shopee Food platform","Tan",""
"2026-04-22","income","Sales","510.45","Shopee Food daily settlement payout","Shopee Food platform","Lim",""
"2026-04-23","income","Sales","432.89","Shopee Food daily settlement payout","Shopee Food platform","Ahmad",""
"2026-04-24","income","Sales","476.30","Shopee Food daily settlement payout","Shopee Food platform","Jack",""
"2026-04-25","income","Sales","652.30","Shopee Food daily settlement payout","Shopee Food platform","Sarah",""
"2026-04-26","income","Sales","400.14","Shopee Food daily settlement payout","Shopee Food platform","Ali",""
"2026-04-27","income","Sales","525.29","Shopee Food daily settlement payout","Shopee Food platform","Tan",""
"2026-04-28","income","Sales","574.87","Shopee Food daily settlement payout","Shopee Food platform","Lim",""
"2026-04-29","income","Sales","610.36","Shopee Food daily settlement payout","Shopee Food platform","Ahmad",""
"2026-04-30","income","Sales","665.37","Shopee Food daily settlement payout","Shopee Food platform","Jack",""
"2026-05-01","income","Sales","450.52","Shopee Food daily settlement payout","Shopee Food platform","Sarah",""
"2026-05-02","income","Sales","596.35","Shopee Food daily settlement payout","Shopee Food platform","Ali",""
"2026-05-03","income","Sales","481.06","Shopee Food daily settlement payout","Shopee Food platform","Tan",""
"2026-05-04","income","Sales","529.37","Shopee Food daily settlement payout","Shopee Food platform","Lim",""
"2026-05-05","income","Sales","647.14","Shopee Food daily settlement payout","Shopee Food platform","Ahmad",""
"2026-05-06","income","Sales","422.83","Shopee Food daily settlement payout","Shopee Food platform","Jack",""
"2026-05-07","income","Sales","427.00","Shopee Food daily settlement payout","Shopee Food platform","Sarah",""
"2026-05-08","income","Sales","452.84","Shopee Food daily settlement payout","Shopee Food platform","Ali",""
"2026-05-09","income","Sales","491.50","Shopee Food daily settlement payout","Shopee Food platform","Tan",""
"2026-05-10","income","Sales","608.14","Shopee Food daily settlement payout","Shopee Food platform","Lim",""
"2026-05-11","income","Sales","692.59","Shopee Food daily settlement payout","Shopee Food platform","Ahmad",""
"2026-05-12","income","Sales","410.96","Shopee Food daily settlement payout","Shopee Food platform","Jack",""
"2026-05-13","income","Sales","587.38","Shopee Food daily settlement payout","Shopee Food platform","Sarah",""
"2026-05-14","income","Sales","420.59","Shopee Food daily settlement payout","Shopee Food platform","Ali",""
"2026-05-15","income","Sales","481.67","Shopee Food daily settlement payout","Shopee Food platform","Tan",""
"2026-05-16","income","Sales","660.88","Shopee Food daily settlement payout","Shopee Food platform","Lim",""
"2026-05-17","income","Sales","418.80","Shopee Food daily settlement payout","Shopee Food platform","Ahmad",""
"2026-05-18","income","Sales","571.65","Shopee Food daily settlement payout","Shopee Food platform","Jack",""
"2026-05-19","income","Sales","670.70","Shopee Food daily settlement payout","Shopee Food platform","Sarah",""
"2026-05-20","income","Sales","589.57","Shopee Food daily settlement payout","Shopee Food platform","Ali",""
"2026-05-21","income","Sales","527.51","Shopee Food daily settlement payout","Shopee Food platform","Tan",""
"2026-05-22","income","Sales","605.02","Shopee Food daily settlement payout","Shopee Food platform","Lim",""
"2026-05-23","income","Sales","680.46","Shopee Food daily settlement payout","Shopee Food platform","Ahmad",""
"2026-05-24","income","Sales","571.44","Shopee Food daily settlement payout","Shopee Food platform","Jack",""
"2026-05-25","income","Sales","485.56","Shopee Food daily settlement payout","Shopee Food platform","Sarah",""
"2026-05-26","income","Sales","525.96","Shopee Food daily settlement payout","Shopee Food platform","Ali",""
"2026-05-27","income","Sales","438.45","Shopee Food daily settlement payout","Shopee Food platform","Tan",""
"2026-05-28","income","Sales","435.10","Shopee Food daily settlement payout","Shopee Food platform","Lim",""
"2026-05-29","income","Sales","618.01","Shopee Food daily settlement payout","Shopee Food platform","Ahmad",""
"2026-05-30","income","Sales","443.98","Shopee Food daily settlement payout","Shopee Food platform","Jack",""
"2026-05-31","income","Sales","417.69","Shopee Food daily settlement payout","Shopee Food platform","Sarah",""
"2026-06-01","income","Sales","480.58","Shopee Food daily settlement payout","Shopee Food platform","Sarah",""
"2026-06-02","income","Sales","588.05","Shopee Food daily settlement payout","Shopee Food platform","Ali",""
"2026-06-03","income","Sales","567.83","Shopee Food daily settlement payout","Shopee Food platform","Tan",""
"2026-06-04","income","Sales","474.31","Shopee Food daily settlement payout","Shopee Food platform","Lim",""
"2026-06-05","income","Sales","505.84","Shopee Food daily settlement payout","Shopee Food platform","Ahmad",""
"2026-06-06","income","Sales","437.75","Shopee Food daily settlement payout","Shopee Food platform","Jack",""
"2026-06-07","income","Sales","480.27","Shopee Food daily settlement payout","Shopee Food platform","Sarah",""
"2026-06-08","income","Sales","417.84","Shopee Food daily settlement payout","Shopee Food platform","Ali",""
"2026-06-09","income","Sales","636.91","Shopee Food daily settlement payout","Shopee Food platform","Tan",""
"2026-06-10","income","Sales","449.01","Shopee Food daily settlement payout","Shopee Food platform","Lim",""
"2026-06-11","income","Sales","674.01","Shopee Food daily settlement payout","Shopee Food platform","Ahmad",""
"2026-06-12","income","Sales","481.87","Shopee Food daily settlement payout","Shopee Food platform","Jack",""
"2026-06-13","income","Sales","695.89","Shopee Food daily settlement payout","Shopee Food platform","Sarah",""
"2026-06-14","income","Sales","562.95","Shopee Food daily settlement payout","Shopee Food platform","Ali",""
"2026-06-15","income","Sales","426.02","Shopee Food daily settlement payout","Shopee Food platform","Tan",""
"2026-06-16","income","Sales","514.11","Shopee Food daily settlement payout","Shopee Food platform","Lim",""
"2026-06-17","income","Sales","467.40","Shopee Food daily settlement payout","Shopee Food platform","Ahmad",""
"2026-06-18","income","Sales","603.13","Shopee Food daily settlement payout","Shopee Food platform","Jack",""
"2026-06-19","income","Sales","539.80","Shopee Food daily settlement payout","Shopee Food platform","Sarah",""
"2026-06-20","income","Sales","442.22","Shopee Food daily settlement payout","Shopee Food platform","Ali",""
"2026-06-21","income","Sales","650.56","Shopee Food daily settlement payout","Shopee Food platform","Tan",""
"2026-06-22","income","Sales","445.32","Shopee Food daily settlement payout","Shopee Food platform","Lim",""
"2026-06-23","income","Sales","480.52","Shopee Food daily settlement payout","Shopee Food platform","Ahmad",""
"2026-06-24","income","Sales","641.64","Shopee Food daily settlement payout","Shopee Food platform","Jack",""
"2026-06-25","income","Sales","448.80","Shopee Food daily settlement payout","Shopee Food platform","Sarah",""
"2026-06-26","income","Sales","631.31","Shopee Food daily settlement payout","Shopee Food platform","Ali",""
"2026-06-27","income","Sales","671.21","Shopee Food daily settlement payout","Shopee Food platform","Tan",""
"2026-06-28","income","Sales","459.70","Shopee Food daily settlement payout","Shopee Food platform","Lim",""
"2026-06-29","income","Sales","654.94","Shopee Food daily settlement payout","Shopee Food platform","Ahmad",""
"2026-06-30","income","Sales","560.35","Shopee Food daily settlement payout","Shopee Food platform","Jack",""
"2026-07-01","income","Sales","458.79","Shopee Food daily settlement payout","Shopee Food platform","Sarah",""
"2026-07-02","income","Sales","657.78","Shopee Food daily settlement payout","Shopee Food platform","Ali",""
"2026-07-03","income","Sales","536.25","Shopee Food daily settlement payout","Shopee Food platform","Tan",""
"2026-07-04","income","Sales","528.77","Shopee Food daily settlement payout","Shopee Food platform","Lim",""
"2026-07-05","income","Sales","534.24","Shopee Food daily settlement payout","Shopee Food platform","Ahmad",""
"2026-07-06","income","Sales","496.97","Shopee Food daily settlement payout","Shopee Food platform","Jack",""
"2026-07-07","income","Sales","527.58","Shopee Food daily settlement payout","Shopee Food platform","Sarah",""
"2026-07-08","income","Sales","465.69","Shopee Food daily settlement payout","Shopee Food platform","Ali",""
"2026-07-09","income","Sales","597.07","Shopee Food daily settlement payout","Shopee Food platform","Tan",""
"2026-07-10","income","Sales","419.61","Shopee Food daily settlement payout","Shopee Food platform","Lim",""
"2026-07-11","income","Sales","605.55","Shopee Food daily settlement payout","Shopee Food platform","Ahmad",""
"2026-07-12","income","Sales","618.87","Shopee Food daily settlement payout","Shopee Food platform","Jack",""
"2026-07-13","income","Sales","596.46","Shopee Food daily settlement payout","Shopee Food platform","Sarah",""
"2026-07-14","income","Sales","634.36","Shopee Food daily settlement payout","Shopee Food platform","Ali",""
"2026-07-15","income","Sales","621.39","Shopee Food daily settlement payout","Shopee Food platform","Tan",""
"2026-07-16","income","Sales","636.00","Shopee Food daily settlement payout","Shopee Food platform","Lim",""
"2026-07-17","income","Sales","452.96","Shopee Food daily settlement payout","Shopee Food platform","Ahmad",""
"2026-07-18","income","Sales","669.82","Shopee Food daily settlement payout","Shopee Food platform","Jack",""
"2026-07-19","income","Sales","568.92","Shopee Food daily settlement payout","Shopee Food platform","Sarah",""
"2026-07-20","income","Sales","488.63","Shopee Food daily settlement payout","Shopee Food platform","Ali",""
"2026-07-21","income","Sales","643.85","Shopee Food daily settlement payout","Shopee Food platform","Tan",""
"2026-07-22","income","Sales","625.04","Shopee Food daily settlement payout","Shopee Food platform","Lim",""
"2026-07-23","income","Sales","683.19","Shopee Food daily settlement payout","Shopee Food platform","Ahmad",""
"2026-07-24","income","Sales","577.37","Shopee Food daily settlement payout","Shopee Food platform","Jack",""
"2026-07-25","income","Sales","583.91","Shopee Food daily settlement payout","Shopee Food platform","Sarah",""
"2026-07-26","income","Sales","580.00","Shopee Food daily settlement payout","Shopee Food platform","Ali",""
"2026-07-27","income","Sales","687.73","Shopee Food daily settlement payout","Shopee Food platform","Tan",""
"2026-07-28","income","Sales","613.41","Shopee Food daily settlement payout","Shopee Food platform","Lim",""
"2026-07-29","income","Sales","516.59","Shopee Food daily settlement payout","Shopee Food platform","Ahmad",""
"2026-07-30","income","Sales","476.31","Shopee Food daily settlement payout","Shopee Food platform","Jack",""
"2026-07-31","income","Sales","463.16","Shopee Food daily settlement payout","Shopee Food platform","Sarah",""
"2026-08-01","income","Sales","663.68","Shopee Food daily settlement payout","Shopee Food platform","Sarah",""
"2026-08-02","income","Sales","493.96","Shopee Food daily settlement payout","Shopee Food platform","Ali",""
"2026-08-03","income","Sales","490.24","Shopee Food daily settlement payout","Shopee Food platform","Tan",""
"2026-08-04","income","Sales","692.86","Shopee Food daily settlement payout","Shopee Food platform","Lim",""
"2026-08-05","income","Sales","637.23","Shopee Food daily settlement payout","Shopee Food platform","Ahmad",""
"2026-08-06","income","Sales","638.57","Shopee Food daily settlement payout","Shopee Food platform","Jack",""
"2026-08-07","income","Sales","550.76","Shopee Food daily settlement payout","Shopee Food platform","Sarah",""
"2026-08-08","income","Sales","411.79","Shopee Food daily settlement payout","Shopee Food platform","Ali",""
"2026-08-09","income","Sales","621.73","Shopee Food daily settlement payout","Shopee Food platform","Tan",""
"2026-08-10","income","Sales","435.54","Shopee Food daily settlement payout","Shopee Food platform","Lim",""
"2026-08-11","income","Sales","668.42","Shopee Food daily settlement payout","Shopee Food platform","Ahmad",""
"2026-08-12","income","Sales","571.76","Shopee Food daily settlement payout","Shopee Food platform","Jack",""
"2026-08-13","income","Sales","408.59","Shopee Food daily settlement payout","Shopee Food platform","Sarah",""
"2026-08-14","income","Sales","449.47","Shopee Food daily settlement payout","Shopee Food platform","Ali",""
"2026-08-15","income","Sales","486.93","Shopee Food daily settlement payout","Shopee Food platform","Tan",""
"2026-08-16","income","Sales","482.60","Shopee Food daily settlement payout","Shopee Food platform","Lim",""
"2026-08-17","income","Sales","593.98","Shopee Food daily settlement payout","Shopee Food platform","Ahmad",""
"2026-08-18","income","Sales","445.74","Shopee Food daily settlement payout","Shopee Food platform","Jack",""
"2026-08-19","income","Sales","566.34","Shopee Food daily settlement payout","Shopee Food platform","Sarah",""
"2026-08-20","income","Sales","408.34","Shopee Food daily settlement payout","Shopee Food platform","Ali",""
"2026-08-21","income","Sales","667.50","Shopee Food daily settlement payout","Shopee Food platform","Tan",""
"2026-08-22","income","Sales","613.93","Shopee Food daily settlement payout","Shopee Food platform","Lim",""
"2026-08-23","income","Sales","466.01","Shopee Food daily settlement payout","Shopee Food platform","Ahmad",""
"2026-08-24","income","Sales","649.10","Shopee Food daily settlement payout","Shopee Food platform","Jack",""
"2026-08-25","income","Sales","426.73","Shopee Food daily settlement payout","Shopee Food platform","Sarah",""
"2026-08-26","income","Sales","591.64","Shopee Food daily settlement payout","Shopee Food platform","Ali",""
"2026-08-27","income","Sales","473.28","Shopee Food daily settlement payout","Shopee Food platform","Tan",""
"2026-08-28","income","Sales","599.42","Shopee Food daily settlement payout","Shopee Food platform","Lim",""
"2026-08-29","income","Sales","545.91","Shopee Food daily settlement payout","Shopee Food platform","Ahmad",""
"2026-08-30","income","Sales","698.72","Shopee Food daily settlement payout","Shopee Food platform","Jack",""
"2026-08-31","income","Sales","596.06","Shopee Food daily settlement payout","Shopee Food platform","Sarah",""
"2026-09-01","income","Sales","631.70","Shopee Food daily settlement payout","Shopee Food platform","Sarah",""
"2026-09-02","income","Sales","545.37","Shopee Food daily settlement payout","Shopee Food platform","Ali",""
"2026-09-03","income","Sales","576.81","Shopee Food daily settlement payout","Shopee Food platform","Tan",""
"2026-09-04","income","Sales","451.83","Shopee Food daily settlement payout","Shopee Food platform","Lim",""
"2026-09-05","income","Sales","642.67","Shopee Food daily settlement payout","Shopee Food platform","Ahmad",""
"2026-09-06","income","Sales","442.45","Shopee Food daily settlement payout","Shopee Food platform","Jack",""
"2026-09-07","income","Sales","657.94","Shopee Food daily settlement payout","Shopee Food platform","Sarah",""
"2026-09-08","income","Sales","665.71","Shopee Food daily settlement payout","Shopee Food platform","Ali",""
"2026-09-09","income","Sales","470.96","Shopee Food daily settlement payout","Shopee Food platform","Tan",""
"2026-09-10","income","Sales","562.02","Shopee Food daily settlement payout","Shopee Food platform","Lim",""
"2026-09-11","income","Sales","413.00","Shopee Food daily settlement payout","Shopee Food platform","Ahmad",""
"2026-09-12","income","Sales","496.69","Shopee Food daily settlement payout","Shopee Food platform","Jack",""
"2026-09-13","income","Sales","616.31","Shopee Food daily settlement payout","Shopee Food platform","Sarah",""
"2026-09-14","income","Sales","503.61","Shopee Food daily settlement payout","Shopee Food platform","Ali",""
"2026-09-15","income","Sales","482.15","Shopee Food daily settlement payout","Shopee Food platform","Tan",""
"2026-09-16","income","Sales","628.08","Shopee Food daily settlement payout","Shopee Food platform","Lim",""
"2026-09-17","income","Sales","452.16","Shopee Food daily settlement payout","Shopee Food platform","Ahmad",""
"2026-09-18","income","Sales","458.90","Shopee Food daily settlement payout","Shopee Food platform","Jack",""
"2026-09-19","income","Sales","557.85","Shopee Food daily settlement payout","Shopee Food platform","Sarah",""
"2026-09-20","income","Sales","486.25","Shopee Food daily settlement payout","Shopee Food platform","Ali",""
"2026-09-21","income","Sales","433.90","Shopee Food daily settlement payout","Shopee Food platform","Tan",""
"2026-09-22","income","Sales","558.23","Shopee Food daily settlement payout","Shopee Food platform","Lim",""
"2026-09-23","income","Sales","422.67","Shopee Food daily settlement payout","Shopee Food platform","Ahmad",""
"2026-09-24","income","Sales","402.87","Shopee Food daily settlement payout","Shopee Food platform","Jack",""
"2026-09-25","income","Sales","634.01","Shopee Food daily settlement payout","Shopee Food platform","Sarah",""
"2026-09-26","income","Sales","494.64","Shopee Food daily settlement payout","Shopee Food platform","Ali",""
"2026-09-27","income","Sales","549.04","Shopee Food daily settlement payout","Shopee Food platform","Tan",""
"2026-09-28","income","Sales","676.34","Shopee Food daily settlement payout","Shopee Food platform","Lim",""
"2026-09-29","income","Sales","401.08","Shopee Food daily settlement payout","Shopee Food platform","Ahmad",""
"2026-09-30","income","Sales","596.48","Shopee Food daily settlement payout","Shopee Food platform","Jack",""
"2026-10-01","income","Sales","558.86","Shopee Food daily settlement payout","Shopee Food platform","Sarah",""
"2026-10-02","income","Sales","629.19","Shopee Food daily settlement payout","Shopee Food platform","Ali",""
"2026-10-03","income","Sales","477.86","Shopee Food daily settlement payout","Shopee Food platform","Tan",""
"2026-10-04","income","Sales","403.71","Shopee Food daily settlement payout","Shopee Food platform","Lim",""
"2026-10-05","income","Sales","498.83","Shopee Food daily settlement payout","Shopee Food platform","Ahmad",""
"2026-10-06","income","Sales","669.77","Shopee Food daily settlement payout","Shopee Food platform","Jack",""
"2026-10-07","income","Sales","591.94","Shopee Food daily settlement payout","Shopee Food platform","Sarah",""
"2026-10-08","income","Sales","573.57","Shopee Food daily settlement payout","Shopee Food platform","Ali",""
"2026-10-09","income","Sales","400.85","Shopee Food daily settlement payout","Shopee Food platform","Tan",""
"2026-10-10","income","Sales","523.58","Shopee Food daily settlement payout","Shopee Food platform","Lim",""
"2026-10-11","income","Sales","599.60","Shopee Food daily settlement payout","Shopee Food platform","Ahmad",""
"2026-10-12","income","Sales","552.99","Shopee Food daily settlement payout","Shopee Food platform","Jack",""
"2026-10-13","income","Sales","531.37","Shopee Food daily settlement payout","Shopee Food platform","Sarah",""
"2026-10-14","income","Sales","400.40","Shopee Food daily settlement payout","Shopee Food platform","Ali",""
"2026-10-15","income","Sales","521.71","Shopee Food daily settlement payout","Shopee Food platform","Tan",""
"2026-10-16","income","Sales","687.79","Shopee Food daily settlement payout","Shopee Food platform","Lim",""
"2026-10-17","income","Sales","617.49","Shopee Food daily settlement payout","Shopee Food platform","Ahmad",""
"2026-10-18","income","Sales","416.41","Shopee Food daily settlement payout","Shopee Food platform","Jack",""
"2026-10-19","income","Sales","566.58","Shopee Food daily settlement payout","Shopee Food platform","Sarah",""
"2026-10-20","income","Sales","638.51","Shopee Food daily settlement payout","Shopee Food platform","Ali",""
